1stFlrSF,TotalBsmtSF,SalePrice,OverallQual,GrLivArea,GarageArea,YearBuilt,MasVnrArea,LotFrontage,LotArea
997,793,115000,5,1517,0,1919,0.0,85.0,8500
1844,1844,190000,6,1844,546,1977,480.0,105.0,11751
1216,994,136900,6,1855,325,1954,0.0,75.0,9525
1282,1264,383970,7,2696,792,2007,220.0,77.0,9965
1436,1028,259500,6,2320,180,1945,0.0,61.0,7259
729,729,176000,6,1458,440,1999,1129.0,34.0,3230
1125,1125,155000,5,1125,430,2006,0.0,74.0,8536
1699,1673,320000,7,3222,594,1990,0.0,90.0,12376
728,728,163990,6,1456,390,2005,0.0,65.0,8461
772,732,100000,4,1123,264,1939,0.0,50.0,6060
1080,1080,136000,6,1080,288,1958,135.0,75.0,9464
1199,1199,153900,6,1199,530,1993,0.0,55.0,7892
1586,1362,181000,6,1586,435,1979,0.0,48.0,17043
520,520,84500,6,754,0,1935,0.0,60.0,6780
840,672,87000,5,840,0,1930,0.0,55.0,4388
660,660,155000,6,1348,453,1966,266.0,69.0,7590
1053,1008,150000,5,1053,750,1958,85.0,69.0,8973
1216,924,226000,7,2157,487,1966,309.0,88.0,14200
1327,1063,150750,5,1327,624,1959,0.0,75.0,7388
1721,1461,180000,5,1721,440,1968,0.0,78.0,10335
1682,1304,174000,7,1682,530,1970,288.0,80.0,10400
1959,1907,171000,7,1959,766,1988,70.0,82.0,11070
1004,1004,230000,8,1852,660,1999,320.0,73.0,9066
928,928,231500,6,1764,470,1997,0.0,65.0,15426
864,864,115000,4,864,0,1971,0.0,70.0,10500
1734,1734,260000,7,1734,660,2005,0.0,78.0,11645
910,910,166000,5,1385,720,1952,0.0,71.0,8520
1501,1490,204000,7,1501,577,1999,183.0,78.0,10335
1728,1728,125000,5,1728,504,1963,336.0,70.0,9100
970,970,130000,6,1709,380,2004,50.0,24.0,2522
875,715,105000,5,875,180,1931,0.0,51.0,6120
1080,1080,141000,7,1080,0,2004,120.0,63.0,7500
969,969,122000,5,969,440,1975,0.0,120.0,10356
1710,1710,372402,8,1710,866,2007,436.0,107.0,13891
1200,1200,125000,6,1200,312,1923,0.0,84.0,11340
572,572,79000,6,1096,0,1924,0.0,60.0,9600
1040,0,109500,5,1040,625,1950,0.0,60.0,7200
774,774,269500,8,1968,680,2009,84.0,92.0,12003
991,991,254900,7,1947,678,2004,0.0,100.0,12552
1392,1392,320000,7,2462,576,2005,456.0,134.0,19378
1572,1572,412500,9,2668,726,2003,664.0,110.0,13688
1541,1541,220000,7,1541,532,2005,226.0,95.0,12182
882,882,103200,4,882,0,1956,0.0,55.0,5500
1149,1149,152000,6,1616,216,1926,0.0,40.0,5400
808,644,127500,5,1355,0,1940,0.0,62.0,10106
1610,1582,325624,8,2161,789,2007,300.0,86.0,10562
840,840,183500,7,1720,440,2004,0.0,62.0,8244
1656,1080,215000,6,1656,528,1960,112.0,141.0,31770
1064,1064,239000,7,1767,504,1987,0.0,44.0,5306
1362,1362,163000,6,1362,504,1961,491.0,80.0,10197
1651,1606,184000,6,1651,616,1986,132.0,47.0,12416
2158,1202,243000,6,2158,576,1950,0.0,84.0,12615
1164,1151,211000,6,2060,521,1988,268.0,97.0,10029
2234,2216,501837,9,2234,1166,2008,748.0,63.0,17423
968,968,100000,5,968,480,1923,0.0,60.0,8520
901,793,200100,7,1802,216,1920,0.0,54.0,7588
1340,0,120000,5,1340,252,1957,98.0,60.0,9060
1362,1362,200000,7,2082,484,2003,0.0,63.0,11426
936,504,127000,5,1252,576,1908,0.0,92.0,7438
1518,1107,475000,10,3608,840,1892,0.0,90.0,22950
808,660,135000,5,1656,180,1916,0.0,60.0,10410
1224,1086,153337,5,1224,528,1979,275.0,64.0,7018
1593,1593,286000,8,1593,682,2001,0.0,41.0,4923
1549,853,315000,8,2727,440,1932,0.0,70.0,10570
1431,1431,192000,7,1431,666,1999,0.0,68.0,9017
970,970,130000,7,1709,380,2004,50.0,24.0,2522
864,864,127000,5,864,352,1972,0.0,60.0,7180
855,855,148500,6,1456,440,1976,0.0,24.0,2280
1726,1726,311872,7,1726,786,2007,205.0,79.0,9416
1360,1360,235000,8,3112,795,1918,0.0,174.0,25419
929,755,104000,6,2229,0,1912,0.0,92.0,5520
1713,1713,274900,8,1713,856,2004,262.0,76.0,9591
1121,1121,140000,4,1121,440,2003,0.0,80.0,8546
1279,1196,171500,6,1279,473,1977,0.0,75.0,10125
865,617,112000,6,1310,398,1924,0.0,50.0,7000
720,720,110000,5,1284,240,1947,0.0,50.0,3500
1442,1424,180500,7,1442,500,1990,0.0,99.0,11851
1696,1140,143900,5,1696,349,1962,0.0,40.0,13673
1092,1092,145000,6,1092,504,1964,260.0,75.0,8250
864,864,98000,5,864,0,1925,0.0,67.0,5604
1212,1212,186000,6,1212,460,2009,0.0,83.0,10420
932,900,252678,7,1852,644,2009,0.0,72.0,8640
990,990,156000,5,990,576,1995,0.0,43.0,13568
1236,1070,134450,5,1236,447,1957,64.0,72.0,10011
1436,1436,210000,7,1436,484,2004,266.0,65.0,8450
810,686,107000,4,1328,210,1925,0.0,57.0,9906
1248,1248,167240,7,1248,438,2005,16.0,43.0,3010
1498,1498,204900,7,1498,675,2006,0.0,73.0,8990
811,713,179900,6,1552,434,1975,0.0,85.0,11475
864,864,97000,4,864,576,1971,0.0,70.0,10500
2392,2392,386250,10,2392,968,2003,922.0,103.0,13472
630,630,112000,5,1302,280,1971,142.0,21.0,1680
1214,1203,290000,7,2520,721,1995,290.0,82.0,9950
483,483,106000,6,987,280,1970,127.0,21.0,1869
912,912,125000,5,912,336,1967,0.0,70.0,8521
1555,1373,192500,7,1555,430,2005,16.0,43.0,3182
1194,1194,148000,6,1194,312,1959,220.0,73.0,8760
1490,1462,403000,8,2794,810,1995,506.0,174.0,15138
483,483,94500,6,987,288,1972,297.0,21.0,1680
894,894,128200,5,894,308,1976,0.0,75.0,10650
483,483,89500,6,987,264,1971,604.0,21.0,1680
1414,1414,185500,7,1414,494,2004,98.0,65.0,8773
1694,1694,318000,8,1694,818,2007,254.0,93.0,12030
798,735,113000,6,1487,220,1945,0.0,52.0,8741
1566,1566,262500,8,1566,750,2008,36.0,75.0,9000
866,686,110500,5,866,0,1945,0.0,40.0,3880
889,540,79000,5,1440,352,1900,0.0,63.0,5000
626,626,120000,6,1217,288,1980,0.0,75.0,10762
1872,1845,241500,7,1872,604,1988,102.0,80.0,10400
908,1020,137000,6,1928,440,1910,0.0,69.0,9142
1375,1367,140000,6,1375,451,1954,0.0,75.0,11310
840,840,180000,7,1668,500,2003,101.0,72.0,11317
1306,728,76500,3,1306,0,1940,0.0,55.0,5350
1625,1573,235000,8,1625,538,2006,481.0,44.0,4750
798,798,173000,6,1640,520,2004,0.0,65.0,8366
1302,1302,158000,6,1302,309,1964,108.0,85.0,9350
1314,1314,145000,5,1314,294,1957,0.0,70.0,8400
1005,975,230000,7,2291,429,1999,302.0,66.0,8738
864,864,207500,6,1728,673,2003,0.0,64.0,8791
1604,1604,220000,7,1604,660,2006,180.0,68.0,8814
963,963,231500,7,1792,564,2001,172.0,80.0,12435
882,0,97000,5,882,308,1956,0.0,70.0,12702
1382,1362,176000,6,1382,884,1962,399.0,120.0,19296
1482,1482,276000,8,2574,868,2007,270.0,69.0,9588
1212,506,151000,6,1212,492,1977,46.0,88.0,8471
926,926,130000,5,1316,484,1929,0.0,50.0,5500
764,680,73000,5,764,504,1925,0.0,30.0,5232
1422,1422,175500,6,1422,576,1981,210.0,78.0,12090
802,802,185000,6,1511,413,1997,0.0,70.0,11207
1052,720,179500,5,2192,240,1939,0.0,60.0,8400
778,740,120500,5,778,924,1940,0.0,71.0,6900
1095,1095,266000,8,1939,1053,2006,0.0,84.0,10728
1363,1385,241500,7,1363,439,1954,0.0,73.0,39104
1164,1152,290000,8,2270,671,1999,348.0,92.0,11764
1632,1240,139000,6,1632,338,1958,183.0,80.0,9600
816,816,124500,5,816,264,1982,0.0,76.0,8314
952,952,205000,7,1548,672,1925,0.0,55.0,7264
1560,1560,201000,7,1560,573,2003,0.0,129.0,9196
864,864,141000,4,864,400,1951,0.0,140.0,19138
2121,2121,415298,9,2121,732,2006,315.0,107.0,14450
1156,1160,192000,7,2022,505,1977,299.0,83.0,10005
1175,807,228500,7,1982,575,1989,340.0,82.0,11287
1262,1262,185000,6,1262,572,2006,68.0,60.0,7200
1314,1314,207500,7,1314,626,2007,166.0,34.0,5063
1468,1468,244600,8,1468,898,2008,72.0,74.0,9612
1575,1575,179200,6,1575,529,1992,0.0,50.0,8012
625,625,164700,7,1250,528,2006,0.0,35.0,4251
1085,912,159000,6,1734,440,1962,0.0,77.0,9786
698,698,153575,6,1396,384,1915,0.0,60.0,8730
1079,1079,233230,8,1919,685,2006,0.0,120.0,15611
936,780,135900,5,1716,0,1912,0.0,55.0,5687
1148,768,131000,5,1716,281,1949,0.0,60.0,11409
1644,1416,167000,6,1644,418,1953,238.0,80.0,9600
1003,1003,142500,6,1003,588,1984,0.0,37.0,7937
910,910,152000,5,1558,282,1950,0.0,75.0,13710
975,975,239000,7,1950,576,1997,1600.0,66.0,7399
1041,702,175000,6,1743,539,1968,365.0,90.0,11700
1152,1092,158500,6,1152,300,1950,0.0,80.0,14000
1336,1165,157000,5,1336,375,1953,56.0,90.0,15750
1210,1028,267000,8,2452,683,1998,0.0,66.0,16226
1541,1541,205000,7,1541,843,2001,150.0,118.0,13704
894,894,149900,5,894,552,1972,0.0,70.0,9800
1675,1470,295000,7,3493,870,1880,0.0,87.0,18386
2000,2000,305900,8,2000,888,2004,246.0,80.0,10386
1122,700,225000,7,2243,746,1990,246.0,116.0,13474
1944,1896,360000,9,1944,708,2003,0.0,90.0,12378
972,972,132000,6,972,240,1948,0.0,50.0,8000
793,793,119900,5,1118,410,1939,0.0,65.0,7800
2036,2136,375000,7,2036,513,1965,0.0,150.0,215245
832,728,178000,7,1641,546,1925,0.0,60.0,9600
716,716,188500,7,1432,432,2004,0.0,71.0,7795
1153,845,260000,7,2353,484,1980,278.0,94.0,13005
1088,1088,270000,8,1959,1025,2006,0.0,75.0,9000
1372,1347,260000,7,2646,656,1993,256.0,90.0,9900
1249,1249,342643,9,2596,840,2006,370.0,111.0,16259
1136,1136,354000,8,2468,872,2004,388.0,99.0,12099
1553,1502,301000,7,2730,576,1986,172.0,86.0,10380
1163,1162,126175,3,1163,220,1955,0.0,49.0,5820
1898,710,242000,7,2978,564,1967,300.0,96.0,11275
803,720,87000,5,803,360,1941,0.0,50.0,5000
1719,1719,324000,8,1719,473,1993,0.0,32.0,10846
1383,1383,145250,6,1383,292,1960,175.0,80.0,11600
596,596,78000,5,1192,189,1920,0.0,60.0,6402
1056,1056,139000,5,1056,308,1958,0.0,70.0,8176
1629,3206,284000,8,1629,880,2003,296.0,85.0,10655
1358,1358,207000,7,1358,484,2004,146.0,59.0,8198
943,943,192000,6,1638,472,1998,0.0,59.0,9042
1922,1922,377426,9,1922,676,2005,200.0,86.0,14157
1536,1536,214000,7,1536,532,2002,113.0,70.0,9135
1621,1208,202500,7,1621,440,1984,0.0,91.0,14145
1215,1215,155000,6,1215,297,1958,176.0,66.0,12400
993,967,202900,8,1908,431,2002,0.0,85.0,14191
841,721,82000,4,841,294,1950,0.0,60.0,8400
1684,1684,266000,9,1684,564,2005,616.0,63.0,8849
536,536,85000,5,1112,336,1976,0.0,36.0,2592
972,972,140200,6,1577,312,1939,0.0,65.0,6435
764,764,154000,7,1626,474,2003,106.0,36.0,2448
1848,1848,437154,9,2728,706,2005,870.0,56.0,20431
1869,1869,318061,9,1869,617,2007,362.0,68.0,7820
616,616,95000,5,1111,200,1941,0.0,60.0,9084
720,624,105900,6,720,484,1928,0.0,60.0,8520
1192,940,140000,6,1595,240,1940,0.0,60.0,8400
1200,1200,177500,6,1200,521,1995,0.0,105.0,11249
1142,1142,134000,5,1142,528,1976,0.0,44.0,4224
1352,1062,130000,5,1352,288,1958,120.0,92.0,6930
1086,1086,280000,8,1924,592,1998,530.0,78.0,12011
495,0,198500,7,1922,672,2003,500.0,64.0,7301
483,483,118000,6,987,264,1972,510.0,21.0,1680
672,672,147000,5,1344,468,1920,0.0,59.0,10690
1431,1099,165000,6,1431,296,1962,305.0,101.0,9150
1268,1268,132000,5,1268,244,1954,200.0,78.0,7800
1120,0,134432,4,1588,680,1959,0.0,80.0,17120
752,744,125000,6,752,264,1984,0.0,50.0,7175
1319,608,123000,5,1319,270,1953,0.0,79.0,10634
847,847,219500,7,1928,434,2003,0.0,65.0,8200
914,870,148000,5,914,576,1996,0.0,57.0,8846
1580,1580,340000,8,2466,610,2004,0.0,102.0,11143
1856,1856,394432,9,1856,834,2010,350.0,88.0,11394
1007,982,179000,6,1800,463,2000,16.0,60.0,8123
1026,1026,127000,5,1691,308,1924,0.0,50.0,5000
1301,1293,187750,7,1301,572,2006,0.0,60.0,7200
939,939,213500,7,1797,639,2006,0.0,79.0,9245
784,784,76000,6,784,360,1928,0.0,60.0,9000
1269,1256,192000,8,1269,430,2004,16.0,43.0,3182
658,658,81000,5,1184,0,1910,0.0,58.0,8410
1125,1041,125000,6,1125,352,1976,255.0,72.0,7200
1479,1468,191000,7,1479,577,1999,125.0,93.0,9382
1742,1682,426000,10,2332,846,2007,272.0,96.0,12474
961,861,119000,5,1367,384,1900,0.0,50.0,8405
804,804,215000,6,1961,560,2001,0.0,71.0,12209
735,735,109000,5,1034,240,1940,0.0,60.0,10134
1144,1144,129000,5,1144,596,1956,0.0,68.0,9571
894,894,123000,5,894,600,1972,0.0,60.0,7200
876,864,169500,5,1812,264,1962,288.0,69.0,7590
1077,961,67000,5,1077,338,1920,0.0,60.0,8967
1112,1092,241000,7,1550,438,2006,100.0,65.0,8125
1288,1260,245500,8,1288,500,1996,0.0,38.0,14963
1310,1310,164990,7,1310,400,2005,0.0,65.0,8767
672,672,108000,5,672,240,1940,0.0,60.0,10200
1165,1141,258000,8,2263,420,1998,650.0,93.0,12090
1166,1064,115000,6,1639,240,1936,0.0,51.0,10480
840,840,177000,6,1680,308,1915,0.0,63.0,15576
1071,1063,280000,7,2172,947,2006,350.0,109.0,14154
1050,1034,339750,8,2078,836,2007,100.0,85.0,10800
1276,1276,60000,5,1276,350,1958,0.0,68.0,9571
1056,1056,145000,5,1056,572,1955,0.0,100.0,34650
1028,1008,115000,5,1028,360,1927,0.0,56.0,8960
1080,1080,228000,7,2097,678,1993,0.0,59.0,11228
1340,1340,181134,7,1340,396,2007,0.0,73.0,8899
672,672,149500,6,1400,440,1978,203.0,74.0,7844
1370,1370,239000,6,2624,864,1918,0.0,86.0,22420
756,756,126000,5,1134,240,1940,0.0,60.0,8160
1056,1056,142000,5,1056,304,1968,0.0,65.0,8450
1344,1344,206300,7,1344,784,1997,200.0,78.0,7060
988,988,113000,5,988,520,1954,0.0,100.0,21750
1470,1470,315000,8,2630,696,1998,473.0,80.0,9200
1196,1196,139000,6,1196,297,1956,74.0,72.0,9000
707,651,135000,7,1389,240,1946,0.0,60.0,3378
907,907,109008,4,907,352,1957,0.0,77.0,8593
1208,1208,195400,7,1208,628,2007,108.0,64.0,6762
1412,1392,175000,6,1412,576,1988,0.0,130.0,11457
483,483,85400,6,987,264,1971,232.0,21.0,1680
1088,901,79900,6,1198,0,1920,0.0,60.0,5586
765,765,122500,5,1365,440,1971,376.0,24.0,1920
926,926,181000,6,1604,470,1997,0.0,100.0,10839
630,630,81000,4,630,0,1972,0.0,21.0,1890
827,799,212000,7,1661,550,1996,0.0,43.0,10667
734,648,116000,6,1118,440,1920,0.0,40.0,4400
904,884,119000,6,904,180,1926,0.0,50.0,6000
694,440,90350,5,694,352,1913,0.0,40.0,4280
684,684,110000,6,1196,528,1920,0.0,67.0,12354
2402,3094,555000,10,2402,672,2008,200.0,105.0,15431
1440,1440,118000,4,1440,0,1955,270.0,92.0,12108
1128,1078,162900,5,1573,360,1930,0.0,52.0,6240
1258,1258,172500,7,1258,648,2006,72.0,53.0,3922
933,915,210000,7,1908,493,1994,0.0,70.0,8750
1689,1436,127500,6,1689,480,1956,0.0,73.0,9855
1888,1517,190000,6,1888,578,1966,0.0,137.0,16492
780,780,119500,6,1376,198,1937,0.0,50.0,8600
679,649,120000,3,1183,308,1948,0.0,50.0,6000
813,813,110000,6,813,270,1930,0.0,70.0,5684
1533,1533,280000,7,1533,576,1975,0.0,62.0,70761
786,768,210000,8,1590,676,2008,0.0,75.0,9000
1728,1728,188000,5,1728,560,1976,0.0,63.0,9297
1242,1242,175500,7,1242,528,1973,320.0,80.0,9600
624,624,98000,5,1344,513,1916,0.0,34.0,4571
832,832,263435,8,1935,552,2009,110.0,75.0,8004
575,560,155000,7,1135,576,1936,0.0,60.0,7200
864,864,62383,5,864,360,1965,0.0,60.0,8281
849,715,188700,6,1660,240,1934,0.0,74.0,11988
1040,1040,124000,5,1040,0,1978,136.0,60.0,8430
1277,1277,167000,7,1277,526,1970,0.0,85.0,10628
888,728,146500,5,1644,312,1942,224.0,79.0,9480
1634,1626,250000,8,1634,866,2006,248.0,98.0,11428
832,832,187000,6,1710,506,1993,120.0,76.0,9291
1161,808,190000,7,1969,534,1977,0.0,92.0,11952
1072,547,148000,6,1072,525,2005,80.0,35.0,3675
1976,1976,440000,8,1976,908,2006,304.0,110.0,14977
1652,1494,251000,8,1652,499,2000,0.0,41.0,5330
970,970,132500,5,970,624,1963,0.0,80.0,8480
1493,1478,208900,6,1493,508,1997,215.0,75.0,13125
2069,2153,380000,9,2643,694,2006,772.0,105.0,13693
1718,1705,297000,8,1718,826,2007,336.0,79.0,10637
1131,907,89471,4,1131,672,1937,435.0,50.0,5925
1850,1833,326000,9,1850,772,2004,378.0,98.0,16033
1792,1792,374000,9,1792,874,2003,562.0,72.0,11846
916,910,155000,7,1826,164,1915,0.0,50.0,2500
1216,1216,164000,6,1216,402,1998,116.0,32.0,4500
1113,1113,147000,5,1113,264,1950,0.0,80.0,9600
1073,1073,156000,5,1073,515,1965,168.0,79.0,10289
1484,1484,175000,5,1484,487,1971,0.0,70.0,12243
1766,954,160000,5,2414,520,1900,0.0,60.0,10800
630,630,86000,4,630,286,1970,0.0,21.0,1526
958,806,133000,6,1578,240,1941,0.0,79.0,9490
728,728,172785,6,1456,429,2006,0.0,105.0,15578
1269,1269,155000,5,1269,308,1960,0.0,70.0,7931
886,190,91300,5,886,273,1938,0.0,50.0,5784
720,720,34900,4,720,0,1920,0.0,60.0,7879
1133,1026,184000,7,1820,240,1925,0.0,60.0,9120
899,864,130000,5,899,288,1967,89.0,65.0,7800
912,912,120000,5,912,297,1958,0.0,70.0,7535
672,672,113000,6,1218,264,1973,285.0,21.0,1890
866,866,226700,7,1768,603,2005,0.0,75.0,9803
1214,1214,140000,5,1214,461,1965,0.0,70.0,9170
1801,1501,289000,7,1801,484,1959,0.0,100.0,15602
855,855,147000,6,1322,440,1974,0.0,24.0,2308
960,960,124500,5,1960,400,1952,360.0,60.0,7596
1065,777,215000,8,1911,471,1993,125.0,80.0,9554
1218,1218,208300,6,1218,676,2009,0.0,75.0,7862
689,689,161000,7,1378,360,1928,0.0,60.0,9600
1041,1041,124500,5,1041,270,1959,132.0,80.0,9600
1363,1008,164900,5,1363,288,1951,70.0,75.0,14559
1368,1368,202665,7,1368,474,2005,94.0,40.0,6792
864,864,129900,5,864,624,1958,0.0,70.0,9100
1080,1084,134000,6,1080,484,1983,0.0,71.0,9187
789,768,96500,5,789,200,1926,0.0,55.0,10594
2020,2006,402861,10,2020,900,2009,305.0,94.0,12220
1277,1264,265000,7,2344,889,1996,921.0,79.0,10208
1276,1276,234000,7,2080,282,1926,0.0,53.0,10918
694,0,106250,4,1294,0,1900,0.0,60.0,10800
1244,1244,150000,6,1244,336,1957,0.0,90.0,11988
1004,1004,159000,6,1664,420,1947,0.0,50.0,5000
3138,3138,184750,10,4676,884,2007,762.0,130.0,40094
1383,1379,315750,7,2398,834,1996,594.0,95.0,11787
1266,1257,176000,7,1266,453,2005,0.0,62.0,7500
928,928,132000,5,928,252,1956,0.0,70.0,13300
1476,1452,446261,9,2713,858,2008,268.0,67.0,14948
605,528,86000,4,605,0,1920,0.0,58.0,9098
1509,1461,175000,6,1509,600,1988,219.0,85.0,10200
751,611,128000,6,1362,502,1920,0.0,60.0,6155
827,0,107500,5,827,392,1955,0.0,60.0,7200
334,0,39300,1,334,0,1946,0.0,50.0,5000
707,707,178000,8,1414,403,2004,0.0,74.0,9056
820,1117,107500,5,1347,0,1910,0.0,70.0,7000
880,880,188000,7,1724,527,1998,0.0,57.0,8924
1838,1838,315000,9,1838,765,2006,584.0,85.0,14601
1680,1650,213250,7,1680,583,1998,0.0,78.0,10140
767,723,133000,7,767,367,1998,182.0,34.0,4058
664,654,179665,7,1496,426,2006,0.0,58.0,17104
915,1065,210000,6,1635,440,1923,0.0,70.0,8737
768,768,129500,5,768,624,1970,0.0,54.0,7244
825,825,125000,5,825,720,1955,0.0,49.0,8235
912,912,263000,7,2094,615,2003,0.0,75.0,9375
1069,1069,140000,6,1069,440,1977,0.0,53.0,4043
928,928,112500,5,928,288,1957,0.0,50.0,6000
1717,1709,255500,8,1717,908,2006,250.0,87.0,11146
1126,0,108000,4,1126,520,1949,0.0,67.0,8777
1006,998,284000,7,2046,871,2003,292.0,85.0,10625
1048,993,113000,5,1048,280,1922,0.0,58.0,6380
1092,1092,141000,5,1092,299,1957,0.0,69.0,14850
897,637,108000,4,1336,570,1920,0.0,60.0,11040
729,729,175000,7,1446,406,1996,0.0,57.0,21872
1389,1389,170000,5,1389,418,1974,0.0,77.0,10010
996,996,108000,5,996,0,1940,0.0,63.0,13907
1163,1163,185000,6,1674,396,1918,0.0,66.0,21780
841,806,128000,6,1647,216,1915,0.0,66.0,6858
1134,1122,325000,9,2504,656,2005,245.0,77.0,11198
1535,1517,214000,7,1535,532,2004,168.0,70.0,10171
1496,1496,316600,8,2132,612,1983,0.0,79.0,12327
1728,1728,142600,5,1728,576,1965,108.0,74.0,13101
864,864,120000,6,864,288,1959,207.0,60.0,7332
846,846,224500,7,1692,650,2009,0.0,83.0,13159
774,384,170000,7,1430,400,2000,0.0,76.0,9967
576,372,139000,5,1109,288,1971,82.0,70.0,10500
832,832,118500,5,1216,336,1947,0.0,80.0,8480
877,861,145000,7,1477,216,1928,0.0,52.0,6292
